Artist,LeadArtistId
"Devendra Banhart, Helado Negro",103821
"Bad New Days, Seh Dela Peña",1779704
Mavi Gri,647246
"Dreamville, Bas, Cozz, Girl Talk",1610170
"Dreamville, EARTHGANG, REASON",1610170
Hearts and Bros,1638661
Grey Daze,3522339
Eminem,236
"Eminem, Juice WRLD",236
"Eminem, Skylar Grey",236
Eminem,236
"Eminem, Juice WRLD",236
"Eminem, Ed Sheeran",236
Switchfoot,710
Matt Redman,949
Missy Elliott,1041
José Feliciano,1325
Avenged Sevenfold,1583
Little Big Town,1657
Matt Maher,1810
Matthew West,1930
"Steve Aoki, Maluma",3085
Best Coast,3494
"De La Ghetto, Jhay Cortez, Miky Woodz, Zion & Lennox",3570
Mac Miller,3772
Mac Miller,3772
"Meek Mill, Farruko",3970
"2 Chainz, Future",4031
Krewella,4182
DJ Snake,4310
American Authors,4460
Alina Baraz,4722
Meghan Trainor,4913
Halsey,5109
Halsey,5109
Halsey,5109
"Matoma, Petey Martin, Wilder Woods",5211
dvsn,5541
"Max Styler, Laura White, ARTY",5611
"Domino Saints, Landa Freak",5763
"ARMNHMR, Nevve",31370
"Rich The Kid, YoungBoy Never Broke Again",38781
"Rich The Kid, YoungBoy Never Broke Again",38781
"Valentino Khan, Eliminate",46206
070 Shake,71390
070 Shake,71390
"Johan Lenox, Wifisfuneral",89903
Jhené Aiko,99401
Thutmose,113943
Ron Sexsmith,190320
Alejandro Fernández,206367
of Montreal,207307
"Robotaki, Miko",207347
Los Tigres Del Norte,208323
We Are Messengers,209646
"Dabin, Lowell",210886
Big Sugar,212534
"Rvssian, Shenseea, Swae Lee, Young Thug",214112
Christian French,214313
"Kodie Shane, Trippie Redd",214510
"Yung Pinch, Good Charlotte, Goody Grace",215374
"Yung Pinch, YG",215374
Boris Brejcha,216942
Todd Terry,239009
"Yung Gravy, bbno$",271148
Charlotte Lawrence,299113
Carly Pearce,299279
Alec Benjamin,405139
Chelsea Cutler,406347
Faruk Orakci,420423
Ryan Beatty,477874
SEU Worship,486860
Alec King,495807
Chloe Lilac,530768
Puss N Boots,545418
LIZ LOKRE,643427
"Jua, Shimon Hoshino",772316
"Terry Zhong, Jack Newsome",906300
Hotel Mira,926000
Abraham Vazquez,1025563
Charli Adams,1036712
"Sky Rompiendo, Jhay Cortez, Leebrian, Mora",1091042
"David & Nicole Binion, Steffany Gretzinger",1114098
Walkingpasttheex,1120457
"Polo G, Lil Tjay",1120779
HappyBirthdayCalvin,1451517
Daecolm,455862
"Smeyeul., Galvanic, Haux",810917
"Gloria Trevi, Monica Naranjo",82590
"Brianna Cash, Tory Lanez",3522586
Jonas Brothers,2581
"gabriel black, phem",657467
